"years_monitored","species","n"
2011,"Eretmochelys imbricata",90
2011,"Lepidochelys kempii",17
2012,"Caretta caretta",73
2012,"Chelonia mydas",148
2012,"Dermochelys coriacea",82
2012,"Lepidochelys olivacea",36
2012,"Eretmochelys imbricata",116
2012,"Lepidochelys kempii",16
2013,"Caretta caretta",106
2013,"Chelonia mydas",125
2013,"Dermochelys coriacea",75
2013,"Lepidochelys olivacea",49
2013,"Eretmochelys imbricata",86
2013,"Lepidochelys kempii",16
2014,"Caretta caretta",87
2014,"Chelonia mydas",164
2014,"Dermochelys coriacea",104
2014,"Lepidochelys olivacea",50
2014,"Eretmochelys imbricata",144
2014,"Lepidochelys kempii",42
2015,"Caretta caretta",50
2015,"Chelonia mydas",108
2015,"Dermochelys coriacea",49
2015,"Lepidochelys olivacea",30
2015,"Eretmochelys imbricata",46
2016,"Caretta caretta",43
2016,"Chelonia mydas",36
2016,"Dermochelys coriacea",25
2016,"Lepidochelys olivacea",13
2016,"Eretmochelys imbricata",17
2017,"Caretta caretta",91
2017,"Chelonia mydas",32
2018,"Caretta caretta",32
